,artist_name,track_name,track_id,popularity,num_artists,release_month,release_weekday,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_len,artist_len
0,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,99,1,9,5,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4,7,11
1,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,98,1,10,5,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,19,12
2,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94,2,10,5,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,40,10
3,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,99,1,10,3,0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4,19,12
4,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,97,1,8,5,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1,15,9
5,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,91,2,8,5,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,4,23,9
6,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,100,1,9,5,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4,8,8
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96,1,5,5,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,17,13
8,Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,96,1,11,3,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,19,13
9,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,90,1,9,5,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.762,175.041,148759,4,7,10
10,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,95,2,10,5,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4,33,10
11,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,90,1,9,5,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4,3,6
12,Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93,1,10,5,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4,10,10
13,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,91,1,5,5,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4,11,5
14,Arizona Zervas,ROXANNE,696DnlkuDOXcMAnKlTgXXK,93,1,10,4,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5,7,14
15,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,92,1,8,5,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,4,6,9
16,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,90,2,6,6,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4,40,5
17,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88,1,9,5,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,144935,4,5,6
18,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,92,3,9,5,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,4,55,11
19,Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,93,2,9,5,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,174853,4,27,11
20,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,95,1,3,5,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,7,13
21,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88,1,3,5,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4,4,6
22,Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,87,2,6,5,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4,26,7
23,Dua Lipa,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,96,1,10,4,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,15,8
24,Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,98,1,10,4,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,4,12,11
25,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,88,2,8,5,0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,4,17,10
26,SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,94,2,9,4,0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,184280,4,22,5
27,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,89,3,11,5,0.848,0.713,7,-5.636,0,0.176,0.158,0.0,0.0765,0.509,111.984,279907,4,42,10
28,Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,88,2,9,5,0.542,0.674,6,-4.169,1,0.21,0.0588,0.0,0.0955,0.667,76.388,196760,4,22,11
29,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,95,1,7,5,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5,17,9
30,YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,86,1,10,5,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630,4,13,26
31,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,88,2,6,5,0.698,0.454,1,-6.756,0,0.151,0.123,0.0,0.155,0.137,92.932,260640,4,25,11
32,Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,92,1,9,5,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,9,6
33,Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,93,1,10,4,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5,15,12
34,Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,86,3,7,5,0.897,0.522,2,-7.578,1,0.374,0.0016,0.0,0.0554,0.623,149.986,225924,4,10,17
35,Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,89,1,9,5,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,150867,4,12,11
36,24kGoldn,VALENTINO,0c7K73roy6RW4ebDkf4yGh,88,1,1,5,0.745,0.718,9,-4.853,0,0.183,0.197,0.0,0.134,0.539,151.097,179133,4,9,8
37,Young Thug,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,86,2,8,5,0.974,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,149040,4,28,10
38,Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,86,2,6,5,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,166560,4,24,6
39,Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,84,1,10,5,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000,1,3,8
40,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,96,2,6,5,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4,8,12
41,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,94,2,6,5,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,4,6,3
42,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,87,1,1,3,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4,12,7
43,Lil Mosey,Stuck In A Dream (feat. Gunna),7iHHxY2NLlJRAmlAmC4ahQ,87,2,11,5,0.748,0.648,10,-6.445,0,0.0816,0.481,0.0,0.126,0.726,139.952,123560,4,30,9
44,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,89,1,6,5,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4,6,9
45,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,94,1,9,3,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039,4,4,14
46,Lil Baby,Woah,598yNsG1JFrGd4n2kMoz7F,86,1,11,5,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,183011,4,4,8
47,Lizzo,Good as Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,91,2,10,5,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,159011,4,42,5
48,Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,89,1,9,5,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,4,4,11
49,Lil Tecca,Did It Again,4guBZjUyrGoHsTahO3IHdj,86,1,8,5,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,116240,4,12,9
50,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,89,2,6,3,0.657,0.768,8,-4.628,1,0.0507,0.108,0.0,0.144,0.759,75.025,186223,4,25,14
51,Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,93,2,6,5,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4,31,10
52,21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,85,1,10,4,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,4,8,9
53,Post Malone,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,88,1,9,5,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,156267,4,20,11
54,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,90,1,3,5,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,21,13
55,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,89,2,9,5,0.693,0.564,1,-3.857,0,0.0378,0.399,0.0,0.0409,0.574,185.913,210901,3,25,4
56,Internet Money,Somebody,735RSTb2xbtWbDtKD9XDYi,85,3,10,5,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333,4,8,14
57,Harry Styles,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,89,1,11,7,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,16,12
58,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,85,2,9,5,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,4,21,9
59,Quality Control,Baby,2nKYHpmwjLaEOXS3o7QMiz,83,3,7,3,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4,4,15
60,Roddy Ricch,Start Wit Me (feat. Gunna),5ravc2aiNoYmu9m37diYXW,84,2,10,5,0.919,0.556,4,-6.049,0,0.164,0.0933,0.0,0.109,0.539,130.025,146600,4,26,11
61,Khalid,Up All Night,1mpD5Q8IM32I4bF6eCpU74,86,1,11,4,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,157220,4,12,6
62,Diplo,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,85,2,8,5,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,169227,4,31,5
63,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,85,1,5,5,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,9,18
64,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,88,1,8,5,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4,5,12
65,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85,1,3,5,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5,7,10
66,Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84,1,4,2,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976,4,17,12
67,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93,3,7,5,0.857,0.621,9,-6.376,0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467,4,52,10
68,Post Malone,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,86,3,9,5,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,218320,5,40,11
69,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,93,2,5,5,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4,8,9
70,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,84,2,6,4,0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,176632,4,36,10
71,Niall Horan,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,90,1,10,5,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,4,15,11
72,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,87,2,6,5,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,181824,4,15,10
73,Bazzi,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,89,1,8,5,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,165714,4,8,5
74,Lil Tecca,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,84,2,8,5,0.684,0.671,2,-6.424,0,0.289,0.0119,0.0,0.0769,0.45,179.987,171253,4,32,9
75,Normani,Motivation,0rIAC4PXANcKmitJfoqmVm,89,1,8,5,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4,10,7
76,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,85,3,5,4,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,200107,4,41,10
77,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88,1,8,5,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4,21,12
78,Post Malone,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,86,3,9,5,0.614,0.66,0,-2.848,1,0.0441,0.19,0.0,0.211,0.452,145.01,245267,4,34,11
79,J Balvin,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,93,2,6,5,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4,10,8
80,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88,2,9,5,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,4,45,11
81,Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,89,2,8,5,0.4,0.795,10,-3.731,0,0.461,0.119,0.0,0.159,0.702,190.097,186107,4,29,13
82,Kanye West,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,85,1,10,5,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,4,16,10
83,YoungBoy Never Broke Again,Self Control,4vSoyDfL0uZyUoWu5NNNsQ,82,1,10,5,0.82,0.697,6,-7.296,0,0.378,0.0349,0.0,0.197,0.629,154.992,185866,4,12,26
84,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,84,4,6,5,0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100,4,73,7
85,Bad Bunny,Vete,5DxXgozhkPLgrbKFY91w0c,88,1,11,4,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024,4,4,9
86,Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,85,1,10,5,0.41,0.886,9,-4.413,0,0.155,0.0671,0.0,0.461,0.393,72.577,136351,4,6,10
87,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,90,1,2,5,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4,7,13
88,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,95,1,7,5,0.893,0.748,7,-4.299,0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,157605,4,7,6
89,Lil Tecca,Love Me,4e0FYxSROat25pH16zMTZI,86,1,8,5,0.719,0.538,11,-6.897,0,0.28,0.632,0.0,0.135,0.803,204.132,117013,4,7,9
90,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,92,2,6,5,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4,21,9
91,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,83,3,8,5,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427,4,51,19
92,A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),364spZLB5bhNlnPrzvUB41,81,2,11,5,0.512,0.623,9,-6.553,0,0.0808,0.0187,0.0,0.13,0.219,112.15,183589,5,26,22
93,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,82,2,5,5,0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,192540,4,24,19
94,Mustard,Pure Water (with Migos),3j84U36KvLeXNDPv4t5pI8,85,2,6,5,0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,4,23,7
95,Trippie Redd,6 Kiss,7tgjDlQsMR8RvkdlNCJA58,80,3,11,5,0.687,0.449,2,-10.061,1,0.154,0.109,0.0,0.282,0.229,142.048,199437,4,6,12
96,Saweetie,My Type,5KBARWIxeMGkvUax9VtVC9,83,1,3,5,0.899,0.811,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,126446,4,7,8
97,Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,85,1,10,5,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164620,3,5,10
98,DaBaby,INTRO,77KMttn3Lic7ZQKDlPqp8v,82,1,9,5,0.862,0.685,0,-7.699,0,0.242,0.0342,0.0,0.204,0.672,100.024,172800,4,5,6
99,Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,84,3,10,5,0.894,0.416,9,-6.823,0,0.0538,0.312,0.0,0.146,0.463,116.96,116560,4,18,10
100,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,87,2,11,3,0.448,0.603,7,-7.176,1,0.064,0.433,0.0,0.0862,0.422,205.272,221307,3,34,12
101,Doja Cat,Juicy,7qvsl2pYzrsYgPeFBN5jxp,84,2,8,4,0.786,0.658,0,-2.61,1,0.0661,0.0856,0.0,0.0689,0.458,170.037,202333,4,5,8
102,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,88,1,2,5,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,207320,4,13,13
103,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,2xyx0o4xNOLLjBSbOOdcbA,84,2,10,5,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,143227,4,53,13
104,Major Lazer,Trigger,0Z26mbSHJ1dkUu7g9DDgif,88,4,10,4,0.57,0.585,8,-7.041,1,0.251,0.128,9.7e-05,0.111,0.378,97.285,171987,4,7,11
105,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,84,3,10,5,0.611,0.459,0,-3.926,0,0.0422,0.614,0.0,0.126,0.177,148.28,213878,4,15,10
106,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,95,5,7,5,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4,5,8
107,The Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,96,2,10,6,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4,25,19
108,Russ,BEST ON EARTH (feat. BIA),2Xo3rLHjXfdb4avN68aQyi,83,2,10,5,0.568,0.764,5,-3.465,0,0.255,0.217,0.0,0.0931,0.625,179.985,160720,4,25,4
109,Khalid,Talk (feat. Disclosure),6TqXcAFInzjp0bODyvrWEq,84,2,4,5,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,197573,4,23,6
110,DaBaby,TOES (feat. Lil Baby & Moneybagg Yo),2FvD20Z8aoWIePi7PoN8sG,81,3,9,5,0.816,0.582,8,-4.141,1,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,4,36,6
111,Noah Cyrus,July,5a6pdCHlWS2ekOOQ70QnAr,86,1,7,3,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107,4,4,10
112,Summer Walker,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,83,2,10,5,0.679,0.728,5,-3.092,0,0.154,0.159,0.0,0.107,0.46,152.001,181013,4,22,13
113,Billie Eilish,bury a friend,4SSnFejRGlZikf02HLewEF,87,1,3,5,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,13,13
114,Billie Eilish,i love you,6CcJMwBtXByIz4zQLzFkKc,86,1,3,5,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,4,10,13
115,Bazzi,Paradise,0Rx0DJI556Ix5gBny6EWmn,84,1,8,5,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,169038,4,8,5
116,Old Dominion,One Man Band,08dFHFTx6r67MTsYn5ilDR,80,1,10,5,0.706,0.358,6,-8.331,1,0.0348,0.677,0.0,0.107,0.478,75.991,186240,4,12,12
117,Lewis Capaldi,Bruises,4Of7rzpRpV1mWRbhp5rAqG,88,1,5,5,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,220492,4,7,13
118,DaBaby,Goin Baby,3WyRgi8CzQnhzO0xw79tTS,81,1,3,5,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,141827,4,9,6
119,Lil Skies,I,4ZT9FnbFu1PaBfV3itxiqT,82,1,3,5,0.649,0.453,6,-7.28,1,0.085,0.627,0.0,0.116,0.431,99.183,181891,4,1,9
120,Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,92,2,5,5,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4,33,10
121,YoungBoy Never Broke Again,Hot Now,3eeyKNIBrt5TH4y0y3QkOu,80,1,10,5,0.739,0.637,4,-5.79,0,0.44,0.232,0.0,0.634,0.513,164.91,128414,4,7,26
122,DaBaby,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,81,2,9,5,0.874,0.714,5,-4.946,1,0.233,0.0273,0.0,0.356,0.85,130.046,216678,4,22,6
123,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,88,2,1,5,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030,4,38,9
124,Gunna,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,81,1,2,5,0.848,0.649,2,-6.083,1,0.315,0.232,0.0,0.101,0.629,118.04,181948,4,11,5
125,Quality Control,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,81,3,8,5,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,4,28,15
126,DaBaby,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,81,2,3,5,0.852,0.73,1,-5.803,1,0.0579,0.0219,0.0,0.336,0.394,92.506,157693,4,26,6
127,Post Malone,A Thousand Bad Times,2J0NXdHr6MYvKDSxB7k3V2,83,1,9,5,0.632,0.732,6,-3.498,1,0.092,0.105,1.15e-05,0.111,0.317,159.0,221173,4,20,11
128,JP Saxe,If The World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,85,2,10,4,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4,46,7
129,Lauv,Mean It,3GRSqlALWISqLeNncZMbpX,87,2,11,4,0.746,0.45,7,-8.543,1,0.0872,0.0407,0.0,0.172,0.336,95.998,232853,4,7,4
130,Ant Saunders,Yellow Hearts,2W4yABdLc4Jnds67Poi5Nl,85,1,6,2,0.865,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.038,223258,4,13,12
131,Drake,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,83,1,9,5,0.854,0.554,8,-4.684,1,0.172,0.769,1.84e-06,0.0749,0.272,142.069,163121,4,19,5
132,Billie Eilish,wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,86,1,3,5,0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028,221543,4,17,13
133,Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,83,1,10,5,0.649,0.634,1,-4.394,1,0.0254,0.17,0.0,0.195,0.221,105.051,203141,4,6,10
134,BTS,Make It Right (feat. Lauv),314ZkcV7oLWG8yWE7LABvH,88,2,10,5,0.584,0.685,7,-7.811,1,0.425,0.0304,0.0,0.189,0.345,97.551,226321,4,26,3
135,Frank Ocean,In My Room,4S4Mfvv03M1cHgIOJcbUCL,82,1,11,6,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,133680,4,10,11
136,Camila Cabello,Easy,46D0hYb1B7qiU33VtXt21W,86,1,10,5,0.574,0.593,4,-5.731,0,0.0463,0.411,1.55e-06,0.0966,0.355,128.073,194686,4,4,14
